Sent,Error,annotator_DeepSeek_new1,annotator_DeepSeek_new2,annotator_DeepSeek_new3,annotator_DeepSeek_old1,annotator_DeepSeek_old2,annotator_DeepSeek_old3,annotator_Сlaude_new1,annotator_Claude_new2,annotator_Claude_new3,annotator_Сlaude_old1,annotator_Claude_old2,annotator_Claude_old3,annotator_gpt_new1,annotator_gpt_new2,annotator_gpt_new3,annotator_gpt_old1,annotator_gpt_old2,annotator_gpt_old3,annotator_gemini_new1,annotator_gemini_new2,annotator_gemini_new3,annotator_gemini_old1,annotator_gemini_old2,annotator_gemini_old3
"Это потому что, я очень люблю узнавать новую культуру, посещать достопримечательности и музеи или просто гулять по данном городе и окунуться в его атмосферу.",узнавать новую культуру,,,,,,,,,,,,,,Lex,,Num,Num,,,,Lex,,Lex+Subst,
"Это потому что, я очень люблю узнавать новую культуру, посещать достопримечательности и музеи или просто гулять по данном городе и окунуться в его атмосферу.",данном,,,,,,,,,,,,,,,,,,,,,Ortho,,,
"В настоящее время ситуация очень сложна, мы не возможны путешествовать или только при определенных условиях, и я чувствую себя очень грустно.",не возможны,Space+Miss,Space,Ortho+Space,Space+Insert,Lex,Lex,Constr,Lex,,Constr+Subst,Constr+Subst,Constr+Subst,,,,,,,,,,,,
"В настоящее время ситуация очень сложна, мы не возможны путешествовать или только при определенных условиях, и я чувствую себя очень грустно.",не возможны путешествовать,,,,,,,,Space+Miss,Syntax,Space+Insert,Space+Insert,Space+Insert,Constr,Constr,Lex,Constr+Subst,Constr,Constr,Constr+Transfer,Constr+Transfer,Constr+Transfer,Constr+Transfer,Constr+Transfer,Constr
"В настоящее время ситуация очень сложна, мы не возможны путешествовать или только при определенных условиях, и я чувствую себя очень грустно.",грустно,Brev,Brev,Brev,Constr+Subst,Brev,Impers,AgrGender,,Brev,Constr+Subst,,Constr+Subst,Constr,Brev,,Lex,Brev,Brev,Lex,Idiom+Transfer,Lex+Transfer,Idiom+Subst,Constr+Transfer,Idiom
"В настоящее время ситуация очень сложна, мы не возможны путешествовать или только при определенных условиях, и я чувствую себя очень грустно.",или только при определенных условиях,,,,,,,,,,,,,,Miss,Syntax,Constr,Constr,Conj,,,,,,
"Я знаю, что в нашей стране существует большое количество городов, которое я до сих пор не посетила, но мне просто привлекают зарубежные города, и поэтому когда мне нужно сказать только один, в том случае, самым красивым городом в мире является Барселона.",которое,AgrGender,AgrGender,AgrGender,AgrGender,AgrNum,AgrNum,AgrNum,AgrGender,AgrGender,AgrNum,AgrGender,AgrNum+Subst,AgrNum,AgrGender,AgrGender,AgrGender,AgrGender,AgrGender,AgrNum,AgrGender,AgrGender,AgrGender+Subst,AgrNum+Subst,AgrNum+Subst
"Я знаю, что в нашей стране существует большое количество городов, которое я до сих пор не посетила, но мне просто привлекают зарубежные города, и поэтому когда мне нужно сказать только один, в том случае, самым красивым городом в мире является Барселона.",привлекают,Lex,Voice,Lex,Gov,Lex,Gov,Gov,Gov,Gov,Gov,Gov,Gov+Subst,Ref,Ref+Lex,Refl,Constr+Subst,ArgStr,Refl,Gov+Transfer,Gov+Transfer,Gov+Transfer,Gov+Subst,ArgStr+Subst,ArgStr+Subst
"Я знаю, что в нашей стране существует большое количество городов, которое я до сих пор не посетила, но мне просто привлекают зарубежные города, и поэтому когда мне нужно сказать только один, в том случае, самым красивым городом в мире является Барселона.",в том случае,,Constr,Constr,WO,Constr+Subst,,,,Lex,Lex,,Syntax+Extra,Constr,Lex,Constr,Idiom,Lex,Idiom,,,Syntax+Extra,,Constr+Extra,Extra
"Я знаю, что в нашей стране существует большое количество городов, которое я до сих пор не посетила, но мне просто привлекают зарубежные города, и поэтому когда мне нужно сказать только один, в том случае, самым красивым городом в мире является Барселона.",сказать только один город,,,,,,Miss,,,,,,,Gender,,,,Ref,Miss+Lex,Constr,Constr,Syntax+Miss,Constr+Syntax,Constr+Miss,Constr
"Я знаю, что в нашей стране существует большое количество городов, которое я до сих пор не посетила, но мне просто привлекают зарубежные города, и поэтому когда мне нужно сказать только один, в том случае, самым красивым городом в мире является Барселона.",поэтому когда,,,,,,,,,,,,,Syntax,Syntax,,,,,,,,,,
"Я Барселону посетила пока только один раз в прошлом году, но нужно сказать, что я уже с детства мечтала об этом путешествии.",нужно сказать,,Lex,Ref+Extra,,,Not-clear,,,,,,,,,,,,,,,,,,
"Я Барселону посетила пока только один раз в прошлом году, но нужно сказать, что я уже с детства мечтала об этом путешествии.",Я Барселону посетила,WO,,,,WO,WO,,,WO,,,,,WO,WO,WO,WO,WO,,WO,WO,WO,WO,
"Барселона мне привлекала прежде всего футболом, потому что я с детства болю за команду Барселона, но когда я добралась туда, было намного больше чем стадион и футбол.",болю,Ortho,Ortho,Ortho,Ortho+Subst,Altern,Ortho+Subst,Ortho,Altern,Ortho,Altern,Altern,Altern+Subst,Lex,Morph,Lex,Ortho+Subst,Morph,Altern,Deriv,Infl,Altern,Altern+Subst,Infl+Subst,Infl
"Барселона мне привлекала прежде всего футболом, потому что я с детства болю за команду Барселона, но когда я добралась туда, было намного больше чем стадион и футбол.",команду Барселона,,,,,AgrCase,,,Gov,Gov+Lex,,,,,Gov,,,,Gov,,,Gov,AgrCase+Miss,Gov+Subst,
"Барселона мне привлекала прежде всего футболом, потому что я с детства болю за команду Барселона, но когда я добралась туда, было намного больше чем стадион и футбол.",мне привлекала,Lex,Voice,Lex,Gov,Gov,Gov,Gov,Gov,Gov,Gov,Gov,Gov+Subst,Ref,Lex,Refl,Constr+Subst,Tense,Refl,Gov+Transfer,Gov+Transfer,Gov+Transfer,Gov+Subst,ArgStr+Subst,ArgStr+Subst
"Барселона мне привлекала прежде всего футболом, потому что я с детства болю за команду Барселона, но когда я добралась туда, было намного больше чем стадион и футбол.",больше чем стадион и футбол,,Com,Conj+Miss,Hyphen+Insert,Miss,,,,,,,,Constr,Constr,Conj,Constr,Constr,Conj,Syntax+Miss,Constr+Miss,Syntax+Miss,Constr+Miss,Constr+Miss,Constr
Барселона мне совсем вдохновила.,вдохновила,Refl,Voice,Voice,Lex,Gov,Gov+WO,Gov,,,Gov,Gov,,Ref,,Gov,Constr+Subst,ArgStr,ArgStr,Gov,Gov+Transfer,Gov+Transfer,Gov+Subst,ArgStr+Subst,ArgStr+Subst
Барселона мне совсем вдохновила.,совсем,,,,,,,,Lex,,Lex,,Lex,Lex,Lex,Lex,,,,Lex+Transfer,Lex+Transfer,Lex+Transfer,Lex+Subst+Transfer,Lex+Subst,Lex+Subst
Я просто гуляла по улице и во все глаза глядела на эту красоту.,во все глаза,Idiom,,,,,,,,,,,,,,,,,,,,,,,
Я просто гуляла по улице и во все глаза глядела на эту красоту.,по улице,,Gov,Gov,,Num,,,,,,,,Lex,Num,Lex,Num,Gov,Num,,,,,,
"Самая красивая вещь, по-моему, архитектура Гауди пронизана по целом городе – на каждом углу находиться здание в Гауди своеобразном стиле.",вещь,,,,,,,,,,,,,,,Lex,Lex,,,,,,,,
"Самая красивая вещь, по-моему, архитектура Гауди пронизана по целом городе – на каждом углу находиться здание в Гауди своеобразном стиле.",целом,,,,,,,,,,,,,,,,,,,,,Ortho,,,
"Самая красивая вещь, по-моему, архитектура Гауди пронизана по целом городе – на каждом углу находиться здание в Гауди своеобразном стиле",по целом,Gov,AgrCase,,,Lex,Constr+Subst,AgrCase,Gov,,AgrCase,AgrCase,AgrCase,AgrCase,AgrCase,,AgrCase,AgrCase,AgrCase,Gov+AgrCase,AgrCase+Gov,Gov+Transfer,Prep+Gov+AgrCase,Prep+Subst+AgrCase+Subst,Prep+Gov+AgrCase+Subst
"Самая красивая вещь, по-моему, архитектура Гауди пронизана по целом городе – на каждом углу находиться здание в Гауди своеобразном стиле",пронизана по целом городе,,,Passive+Gov,Constr+Subst,Constr+Subst,,,,Voice+Gov,Constr+Subst,Constr+Subst,Constr+Subst,,,,Constr+Subst,,,,,,,,
"Самая красивая вещь, по-моему, архитектура Гауди пронизана по целом городе – на каждом углу находиться здание в Гауди своеобразном стиле",находиться,Ortho,Refl,Refl,Ortho+Subst,Ortho+Subst,Ortho+Subst,Ortho,Ortho,Ortho,Ortho+Subst,Ortho+Subst,Ortho+Subst,Refl,Ortho,Finit,Tense+Refl,Tense+Refl,Syntax,Ortho,Ortho,Ortho,Ortho+Subst,Ortho+Subst,Ortho+Subst
"Самая красивая вещь, по-моему, архитектура Гауди пронизана по целом городе – на каждом углу находиться здание в Гауди своеобразном стиле",в Гауди своеобразном стиле,,,,WO,WO,WO,WO,WO,WO,WO,WO,WO,WO+AgrCase,WO,WO,Constr,Constr,Constr,WO,WO,WO,WO+Transfer,WO,WO
"Самая красивая вещь, по-моему, архитектура Гауди пронизана по целом городе – на каждом углу находиться здание в Гауди своеобразном стиле.",архитектура Гауди пронизана по целом городе,,,,,,,,,,,,,Lex,Lex,Lex+AgrCase,,Lex,Lex,Syntax+Miss,,Syntax+Miss,,,
"Самая красивая вещь, по-моему, архитектура Гауди пронизана по целом городе – на каждом углу находиться здание в Гауди своеобразном стиле.","Самая красивая вещь, по-моему, архитектура Гауди",,,,,,,,,,,,,,,,,Aux,,,Constr+Miss,,,Constr+Miss,
"Мне наиболее вдохновил собор Саграда Фамилия, который до сих пор не закончен.",не закончен,,,Passive,,,,,,,,,,,,,,,,,,,,,
"Мне наиболее вдохновил собор Саграда Фамилия, который до сих пор не закончен.",наиболее,,,,,,,Lex,Lex,Gov+Lex,Lex,,Lex,Lex,Lex,Com,,,Lex,Lex,Lex,Lex,Lex+Subst+Transfer,Lex+Subst,Lex+Subst
"Мне наиболее вдохновил собор Саграда Фамилия, который до сих пор не закончен.",Саграда Фамилия,,,,,,,,,,,,,,Caps,,,,,,,,,,
"Закат солнца у этого монументального здания был самым красивым, что я видела за последнее время.",монументального,Lex,Lex,,,,,,,,,,,,,,,,,,,,,,
"Закат солнца у этого монументального здания был самым красивым, что я видела за последнее время.",Закат солнца,,,Lex,,,,,,,,,,,,,,,,,,,,,
"Закат солнца у этого монументального здания был самым красивым, что я видела за последнее время.",самым красивым что,,,,,,,,,,,,,,,,,,,,,,,Constr+Miss,
"Это только моё мнение, что Барселона самый красивый город в мире, возможно я изменю свое мнение когда я посещу Париж или другие города мира, но я уверена в том, что Барселона город, куда хочется вернуться.",что,Conj + Miss,Conj + Miss,Conj,,,,,,,,,,,,,,,,,,Syntax+Miss,Constr+Subst,Constr+Subst,
"Это только моё мнение, что Барселона самый красивый город в мире, возможно я изменю свое мнение когда я посещу Париж или другие города мира, но я уверена в том, что Барселона город, куда хочется вернуться.",что Барселона город,,,,,Miss,Aux+Insert,,,,,,Syntax+Miss,Miss,Miss,Aux,Aux+Del,Aux,Aux+Miss,Syntax+Miss,Aux+Miss,Syntax+Miss,Aux+Miss,Aux+Miss,Aux+Miss
"Это только моё мнение, что Барселона самый красивый город в мире, возможно я изменю свое мнение когда я посещу Париж или другие города мира, но я уверена в том, что Барселона город, куда хочется вернуться.",Барселона самый красивый город,,,,,,,,,,,,,Miss,Miss,Aux,Constr,Aux,Aux+Miss,,Aux+Miss,,,,
"Это только моё мнение, что Барселона самый красивый город в мире, возможно я изменю свое мнение когда я посещу Париж или другие города мира, но я уверена в том, что Барселона город, куда хочется вернуться.",возможно я,,,,,,,,,,,,,,,,,,,,,Syntax+Miss,,,
"Это только моё мнение, что Барселона самый красивый город в мире, возможно я изменю свое мнение когда я посещу Париж или другие города мира, но я уверена в том, что Барселона город, куда хочется вернуться.",куда,,,Conj,,,,,,,,,,,,,,,,,,,,,
"Это только моё мнение, что Барселона самый красивый город в мире, возможно я изменю свое мнение когда я посещу Париж или другие города мира, но я уверена в том, что Барселона город, куда хочется вернуться.",мнение когда,,,,,,,,,,,,,Syntax,,,,,,,,Syntax+Miss,,,
"Это только моё мнение, что Барселона самый красивый город в мире, возможно я изменю свое мнение когда я посещу Париж или другие города мира, но я уверена в том, что Барселона город, куда хочется вернуться.",я посещу,,,,,,,,Lex,,,Asp,,Asp,Asp,Asp,Tense,Asp,Asp,,Conj+Transfer,,,,
