example,quote,change,tag,доп. тег,комментарии
С моим друг играим футбол.,играим,играем,Ortho,,"можно еще думать про Infl, т.к. у глагола играть в парадигме отсутствует окончание на -им. "
С моим друг играим футбол.,футбол,в футбол,Gov,Miss,
"Однако менталитеты оставлся очень традиционнами, и женщины работали 15 часа больше, чем мужчины каждое недело, в заводе и дома.",оставлся,оставались,Ortho,Misspell,
"Однако менталитеты оставлся очень традиционнами, и женщины работали 15 часа больше, чем мужчины каждое недело, в заводе и дома.",традиционнами,традиционными,Ortho,,Infl ?
"Однако менталитеты оставлся очень традиционнами, и женщины работали 15 часа больше, чем мужчины каждое недело, в заводе и дома.",,,Ortho,,на 15 часов больше -- ?
"Однако менталитеты оставлся очень традиционнами, и женщины работали 15 часа больше, чем мужчины каждое недело, в заводе и дома.",недело,неделю,Infl,,
"В США тинейджеры могут работать с шестнадцати лет и найти работу достаточно легко, однако с высшим образованием в США можно получить болеепрестижную и высокооплачиваимаю рботу.",болеепрестижную,более престижную,Ortho,Space,
"В США тинейджеры могут работать с шестнадцати лет и найти работу достаточно легко, однако с высшим образованием в США можно получить болеепрестижную и высокооплачиваимаю рботу.",высокооплачиваимаю,высокооплачиваемую,Ortho,,
Я в них ен разбираюсь и не знаю какой телефон лучше всех или какой компьютер с самыми лучшеми особенностьями.,ен,не,Ortho,Transp,
Я в них ен разбираюсь и не знаю какой телефон лучше всех или какой компьютер с самыми лучшеми особенностьями.,лучшеми ,лучшими,Ortho,,Infl ?
Я в них ен разбираюсь и не знаю какой телефон лучше всех или какой компьютер с самыми лучшеми особенностьями.,особенностьями,особенностями,Ortho,Extra,Infl ?
"Один из моих любимих писателей- бразильский писатель, поэт и прозаик Пауло Коэльо.",любимих,любимых,Infl,Subst,
"В последнии дни мама пыталась пугать меня, спрашивала не страшно ли мне, как я справлюсь, не буду ли скучать, не передумала ли я. Наверно около года папа и мама каждый день звонили мне.",последнии,последние,Ortho,,
,,,Ortho,,
"Больше всего от таких условиев страдают дети, ведь они даже не понимают почему такое случается.",условиев,условий,Infl,,
Первый раз мы провели время вместе было_ когда у меня был вопрос о домашной работе.,домашной,домашней,Infl,,
В самом новом дополнение Natural Disaster будут природные катастрофы.,дополнение,дополнении,Ortho,,"Навряд ли Gov, т.к. у прилагательного падеж верный. Все равно Ortho, даже если пишущий не может не знать форму твор.п. у существительного?"
"На данный момент я скучаю по фигурному катанию, по ледовому, по работе тренером и по фигуристом.",фигуристом,фигуристам,Ortho,,
В обеeх городах я работал в садике с детми.,обеех,обеих,Ortho,,Infl ?
В обеeх городах я работал в садике с детми.,детми,детьми,Ortho,Miss,
После обеда он немного читал газету и потом он начал писать письмо маму.,маму,маме,Gov,,
"Уже давно назад тому, когда я вспоминала своеи ранные годы в школе.",своеи ,свои,Ortho,,Infl ?
"Уже давно назад тому, когда я вспоминала своеи ранные годы в школе.",ранные,ранние,Infl,,
Парки там более зелёние и хорошие чем в Стонкгольм.,зелёние,зелёные,Infl,,
Парки там более зелёние и хорошие чем в Стонкгольм.,Стонкгольм,Стокгольме,Ortho,Translit,
Парки там более зелёние и хорошие чем в Стонкгольм.,Стонкгольм,Стокгольме,Gov,,"Здесь пишущий интерпретирует топоним как неизменяемый, то есть это касается незнания парадигмы слова или не знает управление предлога в(в значении места, а не направления, и тогда ошибка Gov)? Какая ошибка в первом случае? Не Infl, т.к. данная форма в парадигме есть."
"В настоящим мире на улице кто-то идёт один, кто-то в компании в бар или клуб.",настоящим,настоящим,Ortho,,
Все люди ходят в хорошом настроений.,хорошом,хорошем,Infl,,Ortho?
Все люди ходят в хорошом настроений.,настроений,настроении,Gov,,
Мой любимой вид спорта- настольный теннис.,любимой,любимый,Ortho,,Infl ?
"Многое, что мы знаем, передалось нам от древнех времён.",древнех,древних,Ortho,,Infl ?
Надо только сравнивать жизни финнов с жизнью африканцов.,африканцов,африканцев,Infl,,Ortho?
