example,tag,quote,change,Обоснование
И она дала отпор смерте.,Ortho,смерте,смерти,"замена буквы, объяснимая фонетикой"
Если она устала испозуют инвалидной коляской.,Misspell,испозуют,используют,пропуск букв
"Однако, так как она была безответственно матерью, однажди она попросила своей девочке отнести к бабушке хлеб, масло и вино.",Ortho,безответственно,безответственной,пропуск буквы
,Ortho,однажди,однажды,мена ы/и
"Весь дом был чыстый когда пришла и волк был одет в бабушкой одежде ( он, кроме другие лиц, был умным волком)",Ortho,чыстый,чистый,мена ы/и
Спасибо болшой но у меня есть уже что-то чтобы сесть.,Ortho,болшой,большой,пропуск буквы
,Ortho,сесть,съесть,пропуск буквы
У тебя такие болшие ушы.,Ortho,болшие,большие,пропуск буквы
,Ortho,ушы,уши,мена ы/и
"Кот, которому завут Матроскин скривается за диваном и там ждёт суд.",Ortho,завут,зовут,"замена буквы, объяснимая фонетикой"
,Ortho,скривается,скрывается,меня ы/и
"Я люблю эти страни и берю, что людям нужно знать больше о них, потому что они сейчас не достоточно интересоваятся остальных.",Ortho,страни,страны,меня ы/и
,Typo,берю,верю,"замена буквы, не объяснимая фонетикой"
Красиво и окуратно.,Misspell,окуратно,аккуратно,"замена букв, объяснимая фонетикой"
"Она тоже пишет, что учение говорят, «к 2025 гуды число жаждущих устроится и от нехватки воды будет страдать уже 40 землян.»",Ortho,учение,ученые,мена ы/и
,Misspell,гуды,году,"замена букв, не объяснимая фонетикой"
,Ortho,устроится,утроится,вставка лишней буквы
"Они ходят на этот курс, чтобы получить бывшие квалификацы.",Ortho,квалификацы,квалификации,мена ы/и; пропуск буквы
"Я не думаю, что смерть Гетсви полностью вина общество, но в какой-то степени ано соеграло роль в его смерти.",Typo,Гетсви,Гетсби,схожесть символов
,Ortho,ано,оно,"замена буквы, объяснимая фонетикой"
,Misspell,соеграло,сыграло,
"Во время СССР небыло, как он сказала об образовании, xорошиx текник, так что врачи не могли сделать серьёзные анализы.",Ortho,текник,техник,"замена буквы, не объяснимая фонетикой"
Симейноя жизьнь в моём мнение выглядит по другому.,Ortho,симейноя,семейная,"замена буквы, объяснимая фонетикой; схожесть фонетических особеннотей"
,Ortho,жизьнь,жизнь,"вставка лишней буквы, объяснимая фонетикой"
Есть больше быворы.,,,,
Но только если он идёт безустановленно на пойске драгоценности.,Misspell,безустановленно,безустанно?,
,Ortho,пойске,поиски,"замена букв, объяснимая фонетикой"
То есть у всех была возможность идти к врачу без платно.,Ortho,без платно,бесплатно,"замена буквы, объяснимая фонетикой"
"Я думаю что самая большая разница между сводобным и пренудительным трудом это то, что сводобный труд делается согласно доброй воли человека, соответсвенно он выполняется лучше",Typo,сводобным,свободным,перестановка двух символов
,Ortho,пренудительным,принудительным,"замена буквы, объяснимая фонетикой"
"Конечно же, всё не может быт совершенным.",Ortho,быт,быть,пропуск буквы
Я думаю что это случо хороwо описавоет что такое друг.,Ortho,это,этот,пропуск буквы
,Ortho,случо,случай,"замена буквы, не объяснимая фонетикой; пропуск буквы"
,Typo,хороwо,хорошо,замена символа
,Ortho,описавоет,описывает,"замена букв, объяснимая фонетикой"
"По мнению психолога, дочь читательницы думает, что у неё полная фигура из-за современной культуры, в которой рекламые плакаты оказывают “идеальные люди,” именнио, девушки.",Typo,рекламые,рекламные,пропуск буквы
,Typo,именнио,именно,Добавление лишней буквы
"Псохолог считает ( я дуамаю) наиболее проблемным какой психологический тип подростков, которые стремятся подчеркнуть свою нидивидуальность не умело.",Typo,псохолог,психолог,замена символа
,Typo,нидивидуальность,индивидуальность,перестановка двух символов
,Typo,дуамаю,думаю,Добавление лишней буквы
"Ей нужна настайвать свою самую дорогу – иногда это трудно, и иногда родители тоько делают это похуже.",Ortho,тоько,только,пропуск буквы
,Ortho,нужна,нужно,"замена буквы, объяснимая фонетикой"
,Typo,настайвать,настаивать,схожесть символов
"Заниатя проходят онлайн, поетому у меня много свободного времени.",Ortho,заниатя,занятия,"замена букв, объяснимая фонетикой"
,Ortho,поетому,поэтому,"замена буквы, объяснимая фонетикой"
"Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",Misspell,компутерные,компьютерные,
,Ortho,другых,других,меня ы/и
,Ortho,третые,,
,Ortho,учаться,учатся,Добавление лишней буквы
,Ortho,хорошым,хорошим/ хорошем,
Там он встречает одну девушку которая его вдухвляет.,Misspell,вдухвляет,вдохновляет,
"Весь год она работала болентором в центре для детей мигрантов, она верит что, какой из них ей нравится больше и кем она хочет стать, какую профессию ей выбрать.",Misspell,болентором,волонтером,
В первом сценарий главная героиня на карабле сидит за писательным сталом и пишит письмо.,Ortho,сценарий,сценарии,"замена буквы, объяснимая фонетикой"
,Ortho,карабле,корабле,"замена буквы, объяснимая фонетикой"
,Ortho,сталом,столом,"замена буквы, объяснимая фонетикой"
,Ortho,пишит,пишет,"замена буквы, объяснимая фонетикой"
