example,tag,quote,change,комментарий
"1. Я не думаю, что смерть Гетсви полностью вина общество, но в какой-то степени ано соеграло роль в его смерти.",ortho+typo,гетсви,Гэтсби,схожесть символов+неправильная транслиттерация имени собственного
,ortho,общество,общества,схожесть символов
,ortho,ано,оно,схожесть фонетических особенностей
,misspell,соеграло,сыграло,"замена букв, не объяснимая фонетикой"
"1. Во время СССР небыло, как он сказала об образовании, xорошиx текник, так что врачи не могли сделать серьёзные анализы.",ortho,текник,техник,схожесть фонетических особенностей
1. Симейноя жизьнь в моём мнение выглядит по другому.,ortho,симейноя,семейная,схожесть фонетических особенностей
,ortho,жизьнь,жизнь,добавление буквы
1. Есть больше быворы.,ortho,быворы,выборы,перестановка двух соседних элементов
1. Но только если он идёт безустановленно на пойске драгоценности.,ortho,пойске,поиски,схожесть фонетических особенностей
1. То есть у всех была возможность идти к врачу без платно.,ortho,без платно,бесплатно,схожесть фонетических особенностей
"1. Я думаю что самая большая разница между сводобным и пренудительным трудом это то, что сводобный труд делается согласно доброй воли человека, соответсвенно он выполняется лучше",ortho,сводобным,свободным,перестановка двух соседних элементов
,ortho,пренудительным,принудительным,схожесть фонетических особенностей
,ortho,сводобный,свободный,перестановка двух соседних элементов
,ortho,соотвественно,соответственно,пропуск буквы
"1. Конечно же, всё не может быт совершенным.",typo,быт,быть,пропуск буквы
1. Я думаю что это случо хороwо описавоет что такое друг.,misspell,случо,случай,замена и пропуск буквы
,ortho,описавоет,описывает,замена букв
"1. По мнению психолога, дочь читательницы думает, что у неё полная фигура из-за современной культуры, в которой рекламые плакаты оказывают “идеальные люди,” именнио, девушки.",typo,рекламые,рекламные,пропуск буквы
,misspell,именнио,именно,лишняя буква
"1. Псохолог считает ( я дуамаю) наиболее проблемным какой психологический тип подростков, которые стремятся подчеркнуть свою нидивидуальность не умело.",typo,псохолог,психолог,"замена буквы, не объяснимая фонетикой"
,ortho,нидивидуальность,индивидуальность,перестановка двух соседних элементов
"1. Ей нужна настайвать свою самую дорогу – иногда это трудно, и иногда родители тоько делают это похуже.",ortho,нужна,нужно,схожесть фонетических особенностей
,typo,настайвать,настраивать,схожесть символов
,typo,тоько,только,пропуск буквы
"1. Заниатя проходят онлайн, поетому у меня много свободного времени.",misspell,заниатя,занятия,
,ortho,поетому,поэтому,схожесть фонетических особенностей
"1. Нескольких моих друзей купили компутерные очки против синий свет, другых никогда не слышат то, что преподаватель сказал, третые вылетали в стране,где всегда лето и там они учаться в хорошым окружении.",ortho,компутерные,компьютерные,схожесть фонетических особенностей
,ortho,другых,других,мена ы/и
,ortho,третые,третьи,схожесть фонетических особенностей
,ortho,хорошым,хорошем,схожесть фонетических особенностей
1. Там он встречает одну девушку которая его вдухвляет.,misspell,вдухвляет,вдохновляет,пропуск букв
"1. Весь год она работала болентором в центре для детей мигрантов, она верит что, какой из них ей нравится больше и кем она хочет стать, какую профессию ей выбрать.",ortho+typo,болентором,волонтером,схожесть символов
1. В первом сценарий главная героиня на карабле сидит за писательным сталом и пишит письмо.,ortho,карабле,корабле,схожесть фонетических особенностей
,ortho,сталом,столом,схожесть фонетических особенностей
,ortho,пишит,пишет,схожесть фонетических особенностей
